epoch,frame,loss,loss0,loss1,loss2,loss3,walltime,memory,vx_err_linf,vx_err_l1,vx_err_l2,vy_err_linf,vy_err_l1,vy_err_l2,p_err_linf,p_err_l1,p_err_l2,chi_err_linf,chi_err_l1,chi_err_l2
54,6,2.0172142381198026e-24,1.0496156780416874e-12,9.567364496612542e-13,1.3286550284783886e-14,0.0,137.25144386291504,499.51953125,2.998781778451587e-13,3.981379633943105e-14,7.391164924803477e-14,2.3896900083753003e-13,1.0937546255542081e-14,2.9421852670412226e-14,4.8183679268731794e-14,8.737556867243115e-15,1.1924973111214524e-14,0.0,0.0,0.0
55,6,8.671420777945134e-25,6.910395285312715e-13,6.240726315210562e-13,1.1823636842169328e-14,0.0,139.7103626728058,499.51953125,1.858513343222512e-13,1.8144446004482453e-14,3.602554631495426e-14,1.9099077788048424e-13,7.841528584000398e-15,2.0418002065943032e-14,5.5289106626332796e-14,9.706373037410522e-15,1.388437840264116e-14,0.0,0.0,0.0
56,6,3.7521658620865e-25,4.563321749804468e-13,4.0848864900001284e-13,1.0703080136539302e-14,0.0,142.14246249198914,499.51953125,5.670464098272987e-14,8.716477981324511e-15,1.4838076833489606e-14,6.067975982793072e-14,3.985154029928084e-15,9.201527035281331e-15,2.0483614804334138e-14,3.657903673897002e-15,4.991075234403359e-15,0.0,0.0,0.0
57,6,1.6276203218106437e-25,3.0261116451360457e-13,2.666285212893975e-13,9.886704598290123e-15,0.0,144.54745817184448,470.7734375,7.246286903850319e-14,9.915664006344081e-15,1.8347604246031417e-14,5.811020067914008e-14,2.6753777377909095e-15,7.17418674532294e-15,1.3100631690576847e-14,2.0875995679029465e-15,2.926997392449571e-15,0.0,0.0,0.0
58,6,7.071678464830378e-26,2.00673662728906e-13,1.7422527119777145e-13,9.613563924583777e-15,0.0,146.98181128501892,472.05859375,4.325706459695766e-14,4.2250837087992564e-15,8.441287260542561e-15,4.5542562776557105e-14,1.984601148220497e-15,4.945790008320104e-15,1.3100631690576847e-14,2.2585816274141828e-15,3.2897465556443393e-15,0.0,0.0,0.0
59,6,3.097443352641124e-26,1.3345867349524773e-13,1.1432977216445417e-13,9.587449719508702e-15,0.0,149.42129349708557,494.5234375,1.3711254354120683e-14,2.216771973695161e-15,3.631622622590951e-15,1.4690966542232897e-14,1.0306008923948642e-15,2.281158747046104e-15,5.218048215738236e-15,8.987290289434152e-16,1.2720874327873538e-15,0.0,0.0,0.0
60,7,1.3983159556259124e-26,9.092237125396045e-14,7.500049592991902e-14,9.55026555035579e-15,0.0,151.83815622329712,499.51953125,2.005340338229189e-14,2.9517556378781496e-15,5.225966727522999e-15,1.5252908528232134e-14,6.820363809422459e-16,1.8471847660288554e-15,3.9968028886505635e-15,5.778311404922365e-16,7.859226069188568e-16,0.0,0.0,0.0
61,7,6.722897453264187e-27,6.470896520422845e-14,4.94319514859861e-14,9.598408605037394e-15,0.0,155.02399563789368,499.51953125,9.96425164601078e-15,1.1653685461840793e-15,2.0319323921575182e-15,1.0335455364815505e-14,5.162881265036681e-16,1.1447479677257725e-15,3.3861802251067274e-15,5.662443951822452e-16,8.072170858906483e-16,0.0,0.0,0.0
62,7,3.593743239097001e-27,4.912237581879595e-14,3.303263228594844e-14,9.464704817123928e-15,0.0,161.77111291885376,499.51953125,3.4833247397614286e-15,5.514547033338882e-16,7.934417063104707e-16,3.641807992324497e-15,2.7543793962872056e-16,5.180957236039955e-16,3.1086244689504383e-15,4.720580552494994e-16,6.686633780035976e-16,0.0,0.0,0.0
63,7,2.2299583229718746e-27,4.0277399446374174e-14,2.2835573322461677e-14,9.285796026381819e-15,0.0,164.1525387763977,470.7734375,5.88418203051333e-15,1.1036366945341178e-15,1.7233668474083928e-15,4.495834043591329e-15,2.782631295707054e-16,5.802903615859388e-16,2.609024107869118e-15,4.0506742001553047e-16,5.48099014870891e-16,0.0,0.0,0.0
64,7,1.5687845597357742e-27,3.477161724566553e-14,1.6588126918451666e-14,9.195283529834678e-15,0.0,166.88827562332153,472.05859375,2.6645352591003757e-15,4.620681753663527e-16,6.826736654528796e-16,2.3418766925686896e-15,1.6716327655398165e-16,2.81646761365513e-16,2.5951463200613034e-15,3.924671849122598e-16,5.582098308731491e-16,0.0,0.0,0.0
65,7,1.3181664113486614e-27,3.266649399317616e-14,1.2891045054324134e-14,9.213443381810762e-15,0.0,169.45882773399353,494.5234375,3.6637359812630166e-15,7.627156505793774e-16,1.1928346808856711e-15,2.8257561221489702e-15,1.5989111198753783e-16,3.0904999845876415e-16,2.3869795029440866e-15,3.56433945336488e-16,5.007924364726249e-16,0.0,0.0,0.0
66,7,1.2378486894898315e-27,3.208943724289828e-14,1.0984511949298306e-14,9.351855653272629e-15,0.0,172.4616677761078,499.51953125,3.552713678800501e-15,6.630284336980292e-16,9.867654978956799e-16,1.1054796401205325e-15,1.7096398804947977e-16,2.3830629068689565e-16,2.609024107869118e-15,3.6711225850600094e-16,5.261272707013757e-16,0.0,0.0,0.0
67,7,1.1776278297209054e-27,3.145606944466771e-14,1.006862198789187e-14,9.314847077547129e-15,0.0,178.2551453113556,499.51953125,3.552713678800501e-15,4.509970005486869e-16,6.49719082890692e-16,9.228728892196614e-16,1.1161682976610857e-16,1.6084105823421777e-16,2.1094237467877974e-15,3.069317011652162e-16,4.35659514721893e-16,0.0,0.0,0.0
68,7,1.141283003056133e-27,3.097389044161723e-14,9.659703120414958e-15,9.412292472733275e-15,0.0,180.7612292766571,499.51953125,3.1086244689504383e-15,5.629845047736824e-16,8.214214712621719e-16,1.0200174038743626e-15,1.2479512148234554e-16,1.7970087193525103e-16,2.3869795029440866e-15,4.146371129220165e-16,5.583879404653609e-16,0.0,0.0,0.0
69,7,1.1622198953394518e-27,3.126036255064599e-14,9.973060153518236e-15,9.249199950045857e-15,0.0,183.20283460617065,470.7734375,2.886579864025407e-15,6.226483157639137e-16,9.09523528238975e-16,1.1618310480354666e-15,1.439391392162294e-16,2.0389504175741797e-16,2.1649348980190553e-15,2.7831632710785115e-16,4.1459714637577563e-16,0.0,0.0,0.0
70,8,1.1529381268907095e-27,3.123979592908905e-14,9.72885055142117e-15,9.075392231065991e-15,0.0,186.02534341812134,472.05859375,3.552713678800501e-15,5.844819406876821e-16,8.910875870886665e-16,1.27675647831893e-15,1.6968937663208945e-16,2.444629497469703e-16,3.58046925441613e-15,5.655110851639992e-16,7.494109254826903e-16,0.0,0.0,0.0
71,8,1.1457445241012627e-27,3.113344708014915e-14,9.481471320240018e-15,9.303477769752603e-15,0.0,192.38314390182495,494.52734375,1.9984014443252818e-15,4.097321925119509e-16,5.740329651101015e-16,9.610368056911511e-16,1.120653890531899e-16,1.700071786209932e-16,2.248201624865942e-15,3.7977047596760335e-16,5.293410290969697e-16,0.0,0.0,0.0
72,8,1.1447182379212748e-27,3.111363424780372e-14,9.466566392863402e-15,9.329743969942544e-15,0.0,195.0561408996582,499.5234375,4.218847493575595e-15,6.016434110362014e-16,9.467536039126211e-16,8.881784197001252e-16,1.5677960535515734e-16,2.146355432386549e-16,2.609024107869118e-15,5.369560017403246e-16,7.011506165922581e-16,0.0,0.0,0.0
